label,text_adv,text_ele,adv_ele
s113,"Patagonia is a relevant region for the countrys economy because it has oil, fishing, mining and agriculture resources.","Patagonia is an important region for the countrys economy because it has oil, fishing, mining and agriculture resources.","Patagonia is a relevant region for the countrys economy because it has oil, fishing, mining and agriculture resources.
 |<endoflevelone>| 
Patagonia is an important region for the countrys economy because it has oil, fishing, mining and agriculture resources."
s1130,"It has just over 3,000 beds for visitors, compared with tens of thousands on an island such as Rhodes.","It has just over 3,000 beds for visitors  Rhodes, for example, has tens of thousands of beds.","It has just over 3,000 beds for visitors, compared with tens of thousands on an island such as Rhodes.
 |<endoflevelone>| 
It has just over 3,000 beds for visitors  Rhodes, for example, has tens of thousands of beds."
s1131,"The truth is the government doesnt pay much attention to the islands of the north Aegean, she said, so I would take all the kids from our school to the gates of parliament, to tell them: There is still life in these islands. ","The government doesnt pay much attention to the islands of the north Aegean, she said, so I would take all the kids from our school to the gates of parliament, to tell them: There is still life in these islands.      ","The truth is the government doesnt pay much attention to the islands of the north Aegean, she said, so I would take all the kids from our school to the gates of parliament, to tell them: There is still life in these islands. 
 |<endoflevelone>| 
The government doesnt pay much attention to the islands of the north Aegean, she said, so I would take all the kids from our school to the gates of parliament, to tell them: There is still life in these islands.      "
s1132,"The age of the big British summer music festival, including Glastonbury, is drawing to a close, according to the leading rock promoter and manager Harvey Goldsmith.","The age of the big British summer music festival, including Glastonbury, is ending, according to the top rock manager Harvey Goldsmith.","The age of the big British summer music festival, including Glastonbury, is drawing to a close, according to the leading rock promoter and manager Harvey Goldsmith.
 |<endoflevelone>| 
The age of the big British summer music festival, including Glastonbury, is ending, according to the top rock manager Harvey Goldsmith."
s1133,"That is a big, big problem in our industry.","That is a big, big problem for us.","That is a big, big problem in our industry.
 |<endoflevelone>| 
That is a big, big problem for us."
s1134,"And, we are not producing a new generation of these kind of acts  the likes of the Rolling Stones, Muse, even the Arctic Monkeys  that can headline.","And we are not producing new bands that can headline  like the Rolling Stones, Muse, even the Arctic Monkeys.","And, we are not producing a new generation of these kind of acts  the likes of the Rolling Stones, Muse, even the Arctic Monkeys  that can headline.
 |<endoflevelone>| 
And we are not producing new bands that can headline  like the Rolling Stones, Muse, even the Arctic Monkeys."
s1135,"There were about 900 music festival events in the UK between May and September 2014, he said, and there is no way they can all continue.","There were about 900 music festivals in the UK between May and September in 2014, he said, and they cannot all continue.","There were about 900 music festival events in the UK between May and September 2014, he said, and there is no way they can all continue.
 |<endoflevelone>| 
There were about 900 music festivals in the UK between May and September in 2014, he said, and they cannot all continue."
s1136,"He didnt want to risk leaving the US  it was him, not Elvis, said Goldsmith.","He didnt want to risk leaving the US, said Goldsmith.","He didnt want to risk leaving the US  it was him, not Elvis, said Goldsmith.
 |<endoflevelone>| 
He didnt want to risk leaving the US, said Goldsmith."
s1137,"Freddie Mercury had to be our most powerful stage performer, the best live performer weve ever had.","Freddie Mercury was our most powerful stage performer, the best live performer weve ever had.","Freddie Mercury had to be our most powerful stage performer, the best live performer weve ever had.
 |<endoflevelone>| 
Freddie Mercury was our most powerful stage performer, the best live performer weve ever had."
s1138,Were not producing a new generation of this kind of act.,Were not producing a new generation of this kind of band.,"Were not producing a new generation of this kind of act.
 |<endoflevelone>| 
Were not producing a new generation of this kind of band."
s1139,Coldplay is probably the last one to come up and that was ten years ago.,Coldplay is probably the last one and that was ten years ago.,"Coldplay is probably the last one to come up and that was ten years ago.
 |<endoflevelone>| 
Coldplay is probably the last one and that was ten years ago."
s114,"But Bartho Boer, a spokesman for the Mayor, denies that the plans are illiberal.","Bartho Boer, a spokesman for the Mayor, says that the plans are not illiberal.","But Bartho Boer, a spokesman for the Mayor, denies that the plans are illiberal.
 |<endoflevelone>| 
Bartho Boer, a spokesman for the Mayor, says that the plans are not illiberal."
s1140,"So, with no big acts to headline, there are no big shows.","""So, with no big bands to headline, there are no big shows.","So, with no big acts to headline, there are no big shows.
 |<endoflevelone>| 
""So, with no big bands to headline, there are no big shows."
s1141,What is it like to look at the very last of something?,What is it like to look at the last of something?,"What is it like to look at the very last of something?
 |<endoflevelone>| 
What is it like to look at the last of something?"
s1142,"If he does not mate successfully soon with one of two female northern white rhinos at Ol Pejeta Conservancy in Kenya, there will be no more of their kind, male or female, born anywhere.","If he does not mate soon with one of two female northern white rhinos at Ol Pejeta Conservancy in Kenya, there will be no more rhinos like them, male or female, born anywhere.","If he does not mate successfully soon with one of two female northern white rhinos at Ol Pejeta Conservancy in Kenya, there will be no more of their kind, male or female, born anywhere.
 |<endoflevelone>| 
If he does not mate soon with one of two female northern white rhinos at Ol Pejeta Conservancy in Kenya, there will be no more rhinos like them, male or female, born anywhere."
s1143,"Apart from these three animals, there are only two other northern white rhinos in the world, both in zoos, both female.","There are only two other northern white rhinos in the world, both in zoos, both female.","Apart from these three animals, there are only two other northern white rhinos in the world, both in zoos, both female.
 |<endoflevelone>| 
There are only two other northern white rhinos in the world, both in zoos, both female."
s1144,His eye is a sad black dot in his massive wrinkled face as he wanders the reserve with his guards.,His eye is a sad black dot in his big face as he walks around the reserve with his guards.,"His eye is a sad black dot in his massive wrinkled face as he wanders the reserve with his guards.
 |<endoflevelone>| 
His eye is a sad black dot in his big face as he walks around the reserve with his guards."
s1145,"It is a majestic rectangle of strong bone and leathery  esh, a head that expresses pure strength.","It is a majestic rectangle of strong bone, a head of pure strength.","It is a majestic rectangle of strong bone and leathery  esh, a head that expresses pure strength.
 |<endoflevelone>| 
It is a majestic rectangle of strong bone, a head of pure strength."
s1146,Human beings  we always kill the things we love.,Human beings  we always kill the things we love.,"Human beings  we always kill the things we love.
 |<endoflevelone>| 
Human beings  we always kill the things we love."
s1147,But the same people who painted such sensitive portraits of Ice Age rhinos helped to kill them off.,But the same people who painted such sensitive pictures of Ice Age rhinos helped to kill them all.,"But the same people who painted such sensitive portraits of Ice Age rhinos helped to kill them off.
 |<endoflevelone>| 
But the same people who painted such sensitive pictures of Ice Age rhinos helped to kill them all."
s1148,The northern white rhino is the rarest species of African rhino.,The northern white rhino is the rarest kind of African rhino.,"The northern white rhino is the rarest species of African rhino.
 |<endoflevelone>| 
The northern white rhino is the rarest kind of African rhino."
s1149,There are far greater numbers of southern white rhinos and black rhinos.,There are more southern white rhinos and black rhinos.,"There are far greater numbers of southern white rhinos and black rhinos.
 |<endoflevelone>| 
There are more southern white rhinos and black rhinos."
s115,We want everyone to be who he and she is  whether they are gay and lesbian or stand up to violence and are then victims of harassment.,We want everyone to be who he and she is  whether they are gay and lesbian or try to stop violence and are then victims of harassment.,"We want everyone to be who he and she is  whether they are gay and lesbian or stand up to violence and are then victims of harassment.
 |<endoflevelone>| 
We want everyone to be who he and she is  whether they are gay and lesbian or try to stop violence and are then victims of harassment."
s1150,"From 2007, when just 13 rhinos were killed by poachers in South Africa, the killings have grown horri cally.","In 2007, 13 rhinos were killed by poachers in South Africa.","From 2007, when just 13 rhinos were killed by poachers in South Africa, the killings have grown horri cally.
 |<endoflevelone>| 
In 2007, 13 rhinos were killed by poachers in South Africa."
s1151,"In 2014, 1,215 rhinos were slaughtered for their horns in South Africa.","In 2014, 1,215 rhinos were killed for their horns in South Africa.","In 2014, 1,215 rhinos were slaughtered for their horns in South Africa.
 |<endoflevelone>| 
In 2014, 1,215 rhinos were killed for their horns in South Africa."
s1152,"In 2006, the Irish designer completed a scuba-diving course and loved the feeling of being able to breathe underwater and observe  sh in their natural environment.","In 2006, the Irish designer completed a scuba-diving course and loved the feeling of being able to breathe underwater and watch  sh in their natural environment.","In 2006, the Irish designer completed a scuba-diving course and loved the feeling of being able to breathe underwater and observe  sh in their natural environment.
 |<endoflevelone>| 
In 2006, the Irish designer completed a scuba-diving course and loved the feeling of being able to breathe underwater and watch  sh in their natural environment."
s1153,"Although it allows you to stay underwater for longer, you have to plan your whole day around it.",It allows you to stay underwater for longer but it takes a lot of planning.,"Although it allows you to stay underwater for longer, you have to plan your whole day around it.
 |<endoflevelone>| 
It allows you to stay underwater for longer but it takes a lot of planning."
s1154,You have 20kg to 50kg of gear with you  you cant be walking on the beach and decide you want to go in.,You have 20kg to 50kg of gear with you  you cant just walk on the beach and decide you want to go in.,"You have 20kg to 50kg of gear with you  you cant be walking on the beach and decide you want to go in.
 |<endoflevelone>| 
You have 20kg to 50kg of gear with you  you cant just walk on the beach and decide you want to go in."
s1155,It was during a  nal-year project for his product design degree at the University of Limerick that Redmond produced the Express Dive.,It was during a  nal-year project for his degree that Redmond produced the Express Dive.,"It was during a  nal-year project for his product design degree at the University of Limerick that Redmond produced the Express Dive.
 |<endoflevelone>| 
It was during a  nal-year project for his degree that Redmond produced the Express Dive."
s1156,The device can take in enough air for two minutes of diving and takes approximately the same amount of time to be re lled.,The device can take in enough air for two minutes of diving and takes approximately the same amount of time to re ll.,"The device can take in enough air for two minutes of diving and takes approximately the same amount of time to be re lled.
 |<endoflevelone>| 
The device can take in enough air for two minutes of diving and takes approximately the same amount of time to re ll."
s1157,Redmond says the mouthpiece feels similar to using a snorkel.,Redmond says the mouthpiece feels similar to a snorkel.,"Redmond says the mouthpiece feels similar to using a snorkel.
 |<endoflevelone>| 
Redmond says the mouthpiece feels similar to a snorkel."
s1158,"The typical swimmer can hold their breath for about 40 seconds while underwater, he says.",The typical swimmer can hold their breath for about 40 seconds while underwater.,"The typical swimmer can hold their breath for about 40 seconds while underwater, he says.
 |<endoflevelone>| 
The typical swimmer can hold their breath for about 40 seconds while underwater."
s1159,"A lot of my job is listening to peoples lives all day, every day and it started to feel so overwhelming to go on social media and see every single detail of everybodys life, including people that I dont really have a relationship with, she said.","In my job, I spend a lot of time listening to peoples lives all day, every day and it started to feel too much to go on social media and see every detail of everybodys lives, including people that I dont know very well, she said.","A lot of my job is listening to peoples lives all day, every day and it started to feel so overwhelming to go on social media and see every single detail of everybodys life, including people that I dont really have a relationship with, she said.
 |<endoflevelone>| 
In my job, I spend a lot of time listening to peoples lives all day, every day and it started to feel too much to go on social media and see every detail of everybodys lives, including people that I dont know very well, she said."
s116,We as a society want to defend them.,We want to defend them.,"We as a society want to defend them.
 |<endoflevelone>| 
We want to defend them."
s1160,"One thing I really liked about Facebook was that I could sit for hours and click on a friend and then click on one of their friends and one of their friends and one of their friends and literally end up on someones Facebook page from the other side of the world, she said.","One thing I really liked about Facebook was that I could sit for hours and click on a friend and then click on one of their friends and  nish on someones Facebook page from the other side of the world, she said.","One thing I really liked about Facebook was that I could sit for hours and click on a friend and then click on one of their friends and one of their friends and one of their friends and literally end up on someones Facebook page from the other side of the world, she said.
 |<endoflevelone>| 
One thing I really liked about Facebook was that I could sit for hours and click on a friend and then click on one of their friends and  nish on someones Facebook page from the other side of the world, she said."
s1161,I wonder what it would be like if I didnt spend these seconds here and spent them doing something else.,I wonder what it would be like if I didnt spend this time here and spent it doing something else.,"I wonder what it would be like if I didnt spend these seconds here and spent them doing something else.
 |<endoflevelone>| 
I wonder what it would be like if I didnt spend this time here and spent it doing something else."
s1162,He spends his lift rides and spare moments at work reading news articles and books rather than scrolling through a newsfeed.,He spends his spare moments at work reading news articles and books.,"He spends his lift rides and spare moments at work reading news articles and books rather than scrolling through a newsfeed.
 |<endoflevelone>| 
He spends his spare moments at work reading news articles and books."
s1163,"And with no friends accounts to follow online, he has to pick up the phone and call them, something hes come to de nitely enjoy.","And with no friends to follow online, he has to pick up the phone and call them, something he now enjoys.","And with no friends accounts to follow online, he has to pick up the phone and call them, something hes come to de nitely enjoy.
 |<endoflevelone>| 
And with no friends to follow online, he has to pick up the phone and call them, something he now enjoys."
s1164,"Lauren Raskauskas, 22, Naples, Florida Raskauskas describes herself as a pretty private person.","Lauren Raskauskas, 22, Naples, Florida Raskauskas describes herself as a private person.","Lauren Raskauskas, 22, Naples, Florida Raskauskas describes herself as a pretty private person.
 |<endoflevelone>| 
Lauren Raskauskas, 22, Naples, Florida Raskauskas describes herself as a private person."
s1165,She recently deleted her Twitter account and deactivated her Facebook account two years ago after realizing she didnt like everyone knowing what I was doing.,She has deleted her Twitter account and deleted her Facebook account two years ago when she realized that she didnt like everyone knowing what I was doing.,"She recently deleted her Twitter account and deactivated her Facebook account two years ago after realizing she didnt like everyone knowing what I was doing.
 |<endoflevelone>| 
She has deleted her Twitter account and deleted her Facebook account two years ago when she realized that she didnt like everyone knowing what I was doing."
s1166,He claims that he hasnt seen any effect at this point.,He says that he hasnt seen any effect at this point.,"He claims that he hasnt seen any effect at this point.
 |<endoflevelone>| 
He says that he hasnt seen any effect at this point."
s1167,"Even though classmates post about parties and events on Facebook, they make sure to send him a text message, too, he said.","His classmates post about parties and events on Facebook but they send him a text message, too, he said.","Even though classmates post about parties and events on Facebook, they make sure to send him a text message, too, he said.
 |<endoflevelone>| 
His classmates post about parties and events on Facebook but they send him a text message, too, he said."
s1168,"His billing, The Beale Street Blues Boy, was shortened to Blues Boy King and thence to BB.",He was known as The Beale Street Blues Boy but this was shortened to Blues Boy King and then to BB.,"His billing, The Beale Street Blues Boy, was shortened to Blues Boy King and thence to BB.
 |<endoflevelone>| 
He was known as The Beale Street Blues Boy but this was shortened to Blues Boy King and then to BB."
s1169,But he would also cite the earlier blues guitarists Blind Lemon Jefferson and Lonnie Johnson and the jazz players Charlie Christian and Django Reinhardt.,He also mentioned the earlier blues guitarists Blind Lemon Jefferson and Lonnie Johnson and the jazz players Charlie Christian and Django Reinhardt.,"But he would also cite the earlier blues guitarists Blind Lemon Jefferson and Lonnie Johnson and the jazz players Charlie Christian and Django Reinhardt.
 |<endoflevelone>| 
He also mentioned the earlier blues guitarists Blind Lemon Jefferson and Lonnie Johnson and the jazz players Charlie Christian and Django Reinhardt."
s117,"It would be more accurate to call them scum houses than scum villages, says Boer, because we dont want to put more than one of these families in the same area.","They are scum houses not scum villages, says Boer, because we dont want to put more than one of these families in the same area.","It would be more accurate to call them scum houses than scum villages, says Boer, because we dont want to put more than one of these families in the same area.
 |<endoflevelone>| 
They are scum houses not scum villages, says Boer, because we dont want to put more than one of these families in the same area."
s1170,"He once explained that his guitar technique was partly based on his lack of skill: I started to bend notes because I could never play in the bottleneck style, like Elmore James and Booker White.",He once explained that his guitar technique was partly the result of his lack of skill: I started to bend notes because I could never play in the bottleneck style.,"He once explained that his guitar technique was partly based on his lack of skill: I started to bend notes because I could never play in the bottleneck style, like Elmore James and Booker White.
 |<endoflevelone>| 
He once explained that his guitar technique was partly the result of his lack of skill: I started to bend notes because I could never play in the bottleneck style."
s1171,"About a year and a half ago, he said in 1969, all of a sudden, kids started coming up to me saying, Youre the greatest blues guitarist in the world.","About a year and a half ago, he said in 1969, kids suddenly started saying to me, Youre the greatest blues guitarist in the world.","About a year and a half ago, he said in 1969, all of a sudden, kids started coming up to me saying, Youre the greatest blues guitarist in the world.
 |<endoflevelone>| 
About a year and a half ago, he said in 1969, kids suddenly started saying to me, Youre the greatest blues guitarist in the world."
s1172,Smokers are the key group for e-cigarette  rms because seven out of ten vapers are smokers.,Smokers are the key group for e-cigarette companies because seven out of ten vapers are smokers.,"Smokers are the key group for e-cigarette  rms because seven out of ten vapers are smokers.
 |<endoflevelone>| 
Smokers are the key group for e-cigarette companies because seven out of ten vapers are smokers."
s1173,"Numbers who use e-cigarettes while continuing to smoke are going down, West said.","The number of people who use e-cigarettes while continuing to smoke is going down, West said.","Numbers who use e-cigarettes while continuing to smoke are going down, West said.
 |<endoflevelone>| 
The number of people who use e-cigarettes while continuing to smoke is going down, West said."
s1174,"Weve only been tracking vaping for just over a year, so its a short time period, but we are not seeing growth in the number of long-term ex-smokers or never smokers using e-cigarettes.","Weve only been studying vaping for just over a year, so its a short time period, but we are not seeing growth in the number of long-term ex-smokers or never smokers using e-cigarettes.","Weve only been tracking vaping for just over a year, so its a short time period, but we are not seeing growth in the number of long-term ex-smokers or never smokers using e-cigarettes.
 |<endoflevelone>| 
Weve only been studying vaping for just over a year, so its a short time period, but we are not seeing growth in the number of long-term ex-smokers or never smokers using e-cigarettes."
s1175,"Our customers are still very happy with the product, and technology and innovation in hardware is improving user experience and helping them to switch from traditional cigarettes.",Our customers are still very happy with the product and technology is improving their experience and helping them to switch from traditional cigarettes.,"Our customers are still very happy with the product, and technology and innovation in hardware is improving user experience and helping them to switch from traditional cigarettes.
 |<endoflevelone>| 
Our customers are still very happy with the product and technology is improving their experience and helping them to switch from traditional cigarettes."
s1176,They are more popular than nicotine patches and may or may not be more effective.,They are more popular than nicotine patches but we do not know if they are more effective.,"They are more popular than nicotine patches and may or may not be more effective.
 |<endoflevelone>| 
They are more popular than nicotine patches but we do not know if they are more effective."
s1177,"There is a tendency among some local authorities and organizations to treat e-cigarettes as cigarettes and ban them in public places and outdoors, he said.","Some local authorities and organizations treat e-cigarettes like cigarettes  they ban them in public places and outdoors, he said.","There is a tendency among some local authorities and organizations to treat e-cigarettes as cigarettes and ban them in public places and outdoors, he said.
 |<endoflevelone>| 
Some local authorities and organizations treat e-cigarettes like cigarettes  they ban them in public places and outdoors, he said."
s1178,"Vienna is the worlds best city to live in, Baghdad is the worst and London, Paris and New York do not even make it into the top 35, according to international research into quality of life.","Vienna is the worlds best city to live in, Baghdad is the worst and London, Paris and New York are not in the top 35, says an international study on quality of life.","Vienna is the worlds best city to live in, Baghdad is the worst and London, Paris and New York do not even make it into the top 35, according to international research into quality of life.
 |<endoflevelone>| 
Vienna is the worlds best city to live in, Baghdad is the worst and London, Paris and New York are not in the top 35, says an international study on quality of life."
s1179,"German-speaking cities dominate the rankings in the 18th Mercer Quality of Life study, with Vienna joined by Zurich, Munich, Dusseldorf and Frankfurt in the top seven.","German-speaking cities do well in the 18th Mercer Quality of Life study, with Vienna, Zurich, Munich, Dusseldorf and Frankfurt in the top seven.","German-speaking cities dominate the rankings in the 18th Mercer Quality of Life study, with Vienna joined by Zurich, Munich, Dusseldorf and Frankfurt in the top seven.
 |<endoflevelone>| 
German-speaking cities do well in the 18th Mercer Quality of Life study, with Vienna, Zurich, Munich, Dusseldorf and Frankfurt in the top seven."
s118,"They are taken care of so the whole situation is not going to repeat at the new house they are in, says Boer. ","We will take care of them so the whole situation is not going to repeat at the new house they are in, says Boer. ","They are taken care of so the whole situation is not going to repeat at the new house they are in, says Boer. 
 |<endoflevelone>| 
We will take care of them so the whole situation is not going to repeat at the new house they are in, says Boer. "
s1180,"You dont realize how safe Vienna is until you head abroad, said Hartlauer.","You dont realize how safe Vienna is until you go abroad, said Hartlauer.","You dont realize how safe Vienna is until you head abroad, said Hartlauer.
 |<endoflevelone>| 
You dont realize how safe Vienna is until you go abroad, said Hartlauer."
s1181,"We also have terri c public transport, with the underground working 24 hours at weekends, and it only costs 1 per trip.",We also have terri c public transport  the underground trains run 24 hours at weekends and it only costs 1 per trip.,"We also have terri c public transport, with the underground working 24 hours at weekends, and it only costs 1 per trip.
 |<endoflevelone>| 
We also have terri c public transport  the underground trains run 24 hours at weekends and it only costs 1 per trip."
s1182,The fall of the Berlin Wall helped de ne Vienna as the hub for companies wanting to do business in Central Europe.,The fall of the Berlin Wall helped make Vienna a centre for companies who want to do business in Central Europe.,"The fall of the Berlin Wall helped de ne Vienna as the hub for companies wanting to do business in Central Europe.
 |<endoflevelone>| 
The fall of the Berlin Wall helped make Vienna a centre for companies who want to do business in Central Europe."
s1183,Zurich in Switzerland is named by Mercer as having the worlds second highest quality of life but the Viennese say their city is far more fun.,Mercer says Zurich in Switzerland has the worlds second highest quality of life but the Viennese say their city is far more fun.,"Zurich in Switzerland is named by Mercer as having the worlds second highest quality of life but the Viennese say their city is far more fun.
 |<endoflevelone>| 
Mercer says Zurich in Switzerland has the worlds second highest quality of life but the Viennese say their city is far more fun."
s1184,We asked waiters around the UK what they think of the tipping process (including how much they take home from tips and whether its fair) and what would improve it for them.,"We asked waiters around the UK what they think of tipping, including how much money they get from tips and if its fair.","We asked waiters around the UK what they think of the tipping process (including how much they take home from tips and whether its fair) and what would improve it for them.
 |<endoflevelone>| 
We asked waiters around the UK what they think of tipping, including how much money they get from tips and if its fair."
s1185,"Rodri, 37, London: Around 50% of a waiters income is tips Average tips: 60 per eight-hour shift I think they treat waiters best in ... the US  Everything has got fairer since the tipping scandal was exposed in the summer of 2015.","Rodri, 37, London: Around 50% of a waiters income is tips Average tips: 60 per eight-hour shift I think they treat waiters best in ... the US  Everything has got fairer since the tipping scandal in the summer of 2015.","Rodri, 37, London: Around 50% of a waiters income is tips Average tips: 60 per eight-hour shift I think they treat waiters best in ... the US  Everything has got fairer since the tipping scandal was exposed in the summer of 2015.
 |<endoflevelone>| 
Rodri, 37, London: Around 50% of a waiters income is tips Average tips: 60 per eight-hour shift I think they treat waiters best in ... the US  Everything has got fairer since the tipping scandal in the summer of 2015."
s1186,"However, you still hear horror stories from new employees at some chains.",But you still hear horror stories from new employees at some chains.,"However, you still hear horror stories from new employees at some chains.
 |<endoflevelone>| 
But you still hear horror stories from new employees at some chains."
s1187,"I can average around 60 in tips per shift but, on a good night, this goes up to over 100 and, on a poor night, its around 40.","On a good night, this goes up to over 100 and, on a poor night, its around 40.","I can average around 60 in tips per shift but, on a good night, this goes up to over 100 and, on a poor night, its around 40.
 |<endoflevelone>| 
On a good night, this goes up to over 100 and, on a poor night, its around 40."
s1188,"Elle, 22, Edinburgh: We never know whether its fair Average tips: 20 per eight-hour shift I think they treat waiters best in ... France  I work three jobs, all on part-time zero-hours contracts, in catering and hospitality.","Elle, 22, Edinburgh: We never know whether its fair Average tips: 20 per eight-hour shift I think they treat waiters best in ... France  I have three part-time jobs.","Elle, 22, Edinburgh: We never know whether its fair Average tips: 20 per eight-hour shift I think they treat waiters best in ... France  I work three jobs, all on part-time zero-hours contracts, in catering and hospitality.
 |<endoflevelone>| 
Elle, 22, Edinburgh: We never know whether its fair Average tips: 20 per eight-hour shift I think they treat waiters best in ... France  I have three part-time jobs."
s1189,"In restaurants, because a lot of customers add tips through card payments, the staff never actually see how much is getting tipped  so we dont know whether were getting our fair share or not.","In restaurants, because a lot of customers add tips by card, the staff never see how much the tip is  so we dont know if what we get is fair or not.","In restaurants, because a lot of customers add tips through card payments, the staff never actually see how much is getting tipped  so we dont know whether were getting our fair share or not.
 |<endoflevelone>| 
In restaurants, because a lot of customers add tips by card, the staff never see how much the tip is  so we dont know if what we get is fair or not."
s119,"She has now exploded into the public consciousness with an album and a huge hit single, Show das Poderosas, which topped the charts and attracted 52 million YouTube views.","She now has an album and a huge hit single, Show das Poderosas, which was number one in the charts and attracted 52 million YouTube views.","She has now exploded into the public consciousness with an album and a huge hit single, Show das Poderosas, which topped the charts and attracted 52 million YouTube views.
 |<endoflevelone>| 
She now has an album and a huge hit single, Show das Poderosas, which was number one in the charts and attracted 52 million YouTube views."
s1190,Its really unfair that tips go towards breakages made by customers.,Its really unfair that money from our tips is taken for breakages by customers.,"Its really unfair that tips go towards breakages made by customers.
 |<endoflevelone>| 
Its really unfair that money from our tips is taken for breakages by customers."
s1191,The managers should have ways to pay for broken glasses and plates without docking our tips.,The managers should have ways to pay for broken glasses and plates without taking our tips.,"The managers should have ways to pay for broken glasses and plates without docking our tips.
 |<endoflevelone>| 
The managers should have ways to pay for broken glasses and plates without taking our tips."
s1192,I make around 20 a shift but would only be given 10-15 of that money.,I make around 20 a shift in tips but often I only get 10-15 of that money.,"I make around 20 a shift but would only be given 10-15 of that money.
 |<endoflevelone>| 
I make around 20 a shift in tips but often I only get 10-15 of that money."
s1193,I really rely on tips because I am only paid 7 an hour.,I really need tips because I am only paid 7 an hour.,"I really rely on tips because I am only paid 7 an hour.
 |<endoflevelone>| 
I really need tips because I am only paid 7 an hour."
s1194,"Tom, Manchester: A big night of tips can help pay the rent Average tips: 40 per eight-hour shift I think they treat waiters best in ... Italy  Where I used to work,  oor staff kept 80% of cash tips and 40% of card tips.","Tom, Manchester: A big night of tips can help pay the rent Average tips: 40 per eight-hour shift I think they treat waiters best in ... Italy  Where I used to work, waiters kept 80% of cash tips and 40% of card tips.","Tom, Manchester: A big night of tips can help pay the rent Average tips: 40 per eight-hour shift I think they treat waiters best in ... Italy  Where I used to work,  oor staff kept 80% of cash tips and 40% of card tips.
 |<endoflevelone>| 
Tom, Manchester: A big night of tips can help pay the rent Average tips: 40 per eight-hour shift I think they treat waiters best in ... Italy  Where I used to work, waiters kept 80% of cash tips and 40% of card tips."
s1195,"Its hard to say how much I earned a shift; maybe around 40, 20 from card tips.",Its hard to say how much I earn in a shift; maybe about 40.,"Its hard to say how much I earned a shift; maybe around 40, 20 from card tips.
 |<endoflevelone>| 
Its hard to say how much I earn in a shift; maybe about 40."
s1196,"They have got tipping right in Italy, where people dont add a service charge but usually round up their bill so, if they get a meal for 19, they leave a 20 note and dont ask for change.","They have got tipping right in Italy, where customers dont add a big tip but usually round up their bill so, if their meal is 19, they leave a 20 note and dont ask for change.   ","They have got tipping right in Italy, where people dont add a service charge but usually round up their bill so, if they get a meal for 19, they leave a 20 note and dont ask for change.
 |<endoflevelone>| 
They have got tipping right in Italy, where customers dont add a big tip but usually round up their bill so, if their meal is 19, they leave a 20 note and dont ask for change.   "
s1197,A more open and connected world is a better world.,"A more open and connected world is a better world, wrote Zuckerberg.","A more open and connected world is a better world.
 |<endoflevelone>| 
A more open and connected world is a better world, wrote Zuckerberg."
s1198,You wont be surprised by an ex in the street with a new girlfriend or boyfriend: you already know theyre dating someone else from the romantic sel es.,You wont be surprised if you see an ex in the street with a new girlfriend or boyfriend: you already know theyre with someone else because youve seen the romantic sel es.,"You wont be surprised by an ex in the street with a new girlfriend or boyfriend: you already know theyre dating someone else from the romantic sel es.
 |<endoflevelone>| 
You wont be surprised if you see an ex in the street with a new girlfriend or boyfriend: you already know theyre with someone else because youve seen the romantic sel es."
s1199,It doesnt necessarily mean we see them the same way.,It doesnt mean we see them the same way.,"It doesnt necessarily mean we see them the same way.
 |<endoflevelone>| 
It doesnt mean we see them the same way."
s12,"It would be more accurate to call them scum houses than scum villages, says Boer, because we dont want to put more than one of these families in the same area.","They are scum houses not scum villages, says Boer, because we dont want to put more than one of these families in the same area.","It would be more accurate to call them scum houses than scum villages, says Boer, because we dont want to put more than one of these families in the same area.
 |<endoflevelone>| 
They are scum houses not scum villages, says Boer, because we dont want to put more than one of these families in the same area."
s120,This is a sensitive topic in this largely mixed-raced nation.,This is a sensitive topic in this mixed-raced country.,"This is a sensitive topic in this largely mixed-raced nation.
 |<endoflevelone>| 
This is a sensitive topic in this mixed-raced country."
s1200,Professor Robin Dunbar is famous for his research that suggests a person can only have roughly 150 people as a social group.,Professor Robin Dunbar is famous for his research that says a person can only have about 150 people in their social group.,"Professor Robin Dunbar is famous for his research that suggests a person can only have roughly 150 people as a social group.
 |<endoflevelone>| 
Professor Robin Dunbar is famous for his research that says a person can only have about 150 people in their social group."
s1201,"An overwhelming majority of 91% post a photo of themselves, 71% post the city or town where they live, up from 61%, more than half give email addresses and a  fth give their phone number.","Ninety-one per cent post a photo of themselves, 71% post the city or town where they live, more than half give email addresses and a  fth give their phone number.","An overwhelming majority of 91% post a photo of themselves, 71% post the city or town where they live, up from 61%, more than half give email addresses and a  fth give their phone number.
 |<endoflevelone>| 
Ninety-one per cent post a photo of themselves, 71% post the city or town where they live, more than half give email addresses and a  fth give their phone number."
s1202,The data and analytics available to you are extraordinary.,The data available is extraordinary.,"The data and analytics available to you are extraordinary.
 |<endoflevelone>| 
The data available is extraordinary."
s1203,"4 Facebook has been the tool to organize revolutions Though the Arab Spring was dubbed the Twitter revolution, organizing demonstrations and direct action has been revolutionized by Facebook.",4 Facebook has been the tool to organize revolutions Organizing demonstrations has been revolutionized by Facebook.,"4 Facebook has been the tool to organize revolutions Though the Arab Spring was dubbed the Twitter revolution, organizing demonstrations and direct action has been revolutionized by Facebook.
 |<endoflevelone>| 
4 Facebook has been the tool to organize revolutions Organizing demonstrations has been revolutionized by Facebook."
