index,text,level,difficulty,n_sent,n_syll,n_lex,lex_sent,syll_lex,text_c
2091,"Paralympian, Tanni Grey-Thompson, chair of ukactive, a health organization for physical activity, said: All children need to achieve 60 active minutes every day  this can be in a lesson, on the walk to school or in the playground.",ele,32.91,1,59,38,38.0,1.5526315789473684,"['paralympian', 'tanni', 'greythompson', 'chair', 'ukact', 'health', 'organ', 'physic', 'activ', 'said', 'children', 'need', 'achiev', 'activ', 'minut', 'everi', 'day', 'thi', 'lesson', 'walk', 'school', 'playground']"
2092,We know sitting still kills; not sitting still helps children build skills that will stay with them for life.,adv,86.03,1,22,19,19.0,1.1578947368421053,"['know', 'sit', 'still', 'kill', 'sit', 'still', 'help', 'children', 'build', 'skill', 'stay', 'life']"
2093,We know sitting still kills; not sitting still helps children build skills that will help them for the rest of their lives.,ele,91.45,1,25,22,22.0,1.1363636363636365,"['know', 'sit', 'still', 'kill', 'sit', 'still', 'help', 'children', 'build', 'skill', 'help', 'rest', 'live']"
2094,The Scottish government is also supportive.,adv,31.55,1,12,6,6.0,2.0,"['scottish', 'govern', 'also', 'support']"
2095,The Scottish government also supports the idea.,ele,55.91,1,12,7,7.0,1.7142857142857142,"['scottish', 'govern', 'also', 'support', 'idea']"
2096,"In what Mason called the  rst city-scale genetic pro le ever, his team found meningitis at Times Square, a trace of anthrax on the handhold of a train carriage and bacteria that cause bubonic plague on a rubbish bin and ticket machine at stations in uptown Manhattan.",adv,40.69,1,67,47,47.0,1.425531914893617,"['mason', 'call', 'rst', 'cityscal', 'genet', 'pro', 'le', 'ever', 'hi', 'team', 'found', 'mening', 'time', 'squar', 'trace', 'anthrax', 'handhold', 'train', 'carriag', 'bacteria', 'caus', 'bubon', 'plagu', 'rubbish', 'bin', 'ticket', 'machin', 'station', 'uptown', 'manhattan']"
2097,"His team found meningitis at Times Square, a trace of anthrax on a train carriage and bacteria that cause plague on a rubbish bin and ticket machine at stations in uptown Manhattan.",ele,55.92,1,45,32,32.0,1.40625,"['hi', 'team', 'found', 'mening', 'time', 'squar', 'trace', 'anthrax', 'train', 'carriag', 'bacteria', 'caus', 'plagu', 'rubbish', 'bin', 'ticket', 'machin', 'station', 'uptown', 'manhattan']"
2098,"All around the subway, bacteria associated with cheeses  brie, cheddar, parmesan and the mozzarella of ubiquitous New York pizza  turned up.",adv,33.24,1,37,21,21.0,1.7619047619047619,"['around', 'subway', 'bacteria', 'associ', 'chees', 'brie', 'cheddar', 'parmesan', 'mozzarella', 'ubiquit', 'new', 'york', 'pizza', 'turn']"
2099,"All around the subway, there were bacteria from cheeses  brie, cheddar, parmesan and the mozzarella found on New York pizza.",ele,59.64,1,29,20,20.0,1.45,"['around', 'subway', 'bacteria', 'chees', 'brie', 'cheddar', 'parmesan', 'mozzarella', 'found', 'new', 'york', 'pizza']"
2100,"The distinctive bacteria of Swiss cheese were more localized to midtown Manhattan and the  nancial district, and the bacteria used to ferment cabbage for kimchi and sauerkraut showed up in the  nancial district and Bay Ridge.",adv,34.94,1,57,36,36.0,1.5833333333333333,"['distinct', 'bacteria', 'swiss', 'chees', 'local', 'midtown', 'manhattan', 'nancial', 'district', 'bacteria', 'use', 'ferment', 'cabbag', 'kimchi', 'sauerkraut', 'show', 'nancial', 'district', 'bay', 'ridg']"
2101,"The bacteria of Swiss cheese were found in midtown Manhattan and the  nancial district, and the bacteria used to make kimchi and sauerkraut showed up in the  nancial district and Bay Ridge.",ele,47.46,1,47,32,32.0,1.46875,"['bacteria', 'swiss', 'chees', 'found', 'midtown', 'manhattan', 'nancial', 'district', 'bacteria', 'use', 'make', 'kimchi', 'sauerkraut', 'show', 'nancial', 'district', 'bay', 'ridg']"
2102,"Species that cause diarrhoea and nausea, both benign and bad E.coli (mostly benign), and the bacteria that can cause skin infections and urinary-tract infections were common all over the city.",adv,49.49,1,45,30,30.0,1.5,"['speci', 'caus', 'diarrhoea', 'nausea', 'benign', 'bad', 'ecoli', 'mostli', 'benign', 'bacteria', 'caus', 'skin', 'infect', 'urinarytract', 'infect', 'common', 'citi']"
2103,"Bacteria that cause diarrhoea and nausea, as well as E.coli, and the bacteria that can cause skin infections and urinary-tract infections were common all over the city.",ele,52.53,1,41,27,27.0,1.5185185185185186,"['bacteria', 'caus', 'diarrhoea', 'nausea', 'well', 'ecoli', 'bacteria', 'caus', 'skin', 'infect', 'urinarytract', 'infect', 'common', 'citi']"
2104,"He said he hoped the research would provide a baseline of research for health of cials and geneticists, and could help health of cials to be better prepared to prevent and track diseases and pathogens. ",adv,61.33,1,46,35,35.0,1.3142857142857143,"['said', 'hope', 'research', 'would', 'provid', 'baselin', 'research', 'health', 'cial', 'geneticist', 'could', 'help', 'health', 'cial', 'better', 'prepar', 'prevent', 'track', 'diseas', 'pathogen']"
2105,He said he hoped the research would help health of cials to prevent and track diseases.       ,ele,55.24,1,26,16,16.0,1.625,"['said', 'hope', 'research', 'would', 'help', 'health', 'cial', 'prevent', 'track', 'diseas']"
2106,"The yes campaign scored four big successes, winning 53% of the vote in Scotlands largest city, Glasgow, 57% in Dundee and 51% in North Lanarkshire.",adv,71.48,1,33,25,25.0,1.32,"['ye', 'campaign', 'score', 'four', 'big', 'success', 'win', 'vote', 'scotland', 'largest', 'citi', 'glasgow', 'dunde', 'north', 'lanarkshir']"
2107,"The yes campaign had four big successes  it won 53% of the vote in Scotlands largest city, Glasgow, 57% in Dundee and 51% in North Lanarkshire.",ele,70.47,1,34,26,26.0,1.3076923076923077,"['ye', 'campaign', 'four', 'big', 'success', 'vote', 'scotland', 'largest', 'citi', 'glasgow', 'dunde', 'north', 'lanarkshir']"
2108,"We have heard the voice of Scotland and, now, the millions of voices of England must be heard, he said.",adv,85.02,1,24,20,20.0,1.2,"['heard', 'voic', 'scotland', 'million', 'voic', 'england', 'must', 'heard', 'said']"
2109,"We have heard the voice of Scotland and, now, we must hear the millions of voices of England, he said.",ele,85.02,1,24,20,20.0,1.2,"['heard', 'voic', 'scotland', 'must', 'hear', 'million', 'voic', 'england', 'said']"
2110,"Ed Miliband, the Labour leader, said the referendum was a vote from the Scottish people for change.",adv,71.14,1,23,17,17.0,1.3529411764705883,"['ed', 'miliband', 'labour', 'leader', 'said', 'referendum', 'wa', 'vote', 'scottish', 'peopl', 'chang']"
2111,"Ed Miliband, the leader of the Labour Party, said the referendum was a vote from the Scottish people for change.",ele,68.1,1,27,20,20.0,1.35,"['ed', 'miliband', 'leader', 'labour', 'parti', 'said', 'referendum', 'wa', 'vote', 'scottish', 'peopl', 'chang']"
2112,We know our country needs to change in the way it is governed and we know our country needs to change in who it is governed for.,adv,86.37,1,31,27,27.0,1.1481481481481481,"['know', 'countri', 'need', 'chang', 'way', 'govern', 'know', 'countri', 'need', 'chang', 'govern']"
2113,We know our country needs to change.,ele,106.67,1,8,7,7.0,1.1428571428571428,"['know', 'countri', 'need', 'chang']"
2114,Theyve been left out of all of this for the last 18 years.,adv,109.04,1,13,13,13.0,1.0,"['theyv', 'left', 'thi', 'last', 'year']"
2115,Theyve not been a part of this for the last 18 years.,ele,110.06,1,12,12,12.0,1.0,"['theyv', 'part', 'thi', 'last', 'year']"
2116,"We will continue to  ght with the facts because the facts are on our side, he said recently on a conference call with journalists and analysts.",adv,53.55,1,38,26,26.0,1.4615384615384615,"['continu', 'ght', 'fact', 'becaus', 'fact', 'side', 'said', 'recent', 'confer', 'call', 'journalist', 'analyst']"
2117,"We will continue to  ght with the facts because the facts are on our side, he said.",ele,88.06,1,21,17,17.0,1.2352941176470589,"['continu', 'ght', 'fact', 'becaus', 'fact', 'side', 'said']"
2118,Already in the pipeline are plans for a new shark exhibition in Orlando and an attraction in San Antonio that will allow customers to swim with dolphins in a naturalistic setting.,adv,40.01,1,50,31,31.0,1.6129032258064515,"['alreadi', 'pipelin', 'plan', 'new', 'shark', 'exhibit', 'orlando', 'attract', 'san', 'antonio', 'allow', 'custom', 'swim', 'dolphin', 'naturalist', 'set']"
2119,There are already plans for a new shark exhibition in Orlando and an attraction in San Antonio that will allow customers to swim with dolphins.,ele,54.56,1,38,25,25.0,1.52,"['alreadi', 'plan', 'new', 'shark', 'exhibit', 'orlando', 'attract', 'san', 'antonio', 'allow', 'custom', 'swim', 'dolphin']"
2120,"SeaWorlds shares, which were worth $39 in 2013, were changing hands for just under $18 in August 2015. ",adv,78.59,1,23,18,18.0,1.2777777777777777,"['seaworld', 'share', 'worth', 'chang', 'hand', 'august']"
2121,"SeaWorlds shares, which were worth $39 in 2013, fell to just under $18 in August 2015.    ",ele,72.16,1,23,16,16.0,1.4375,"['seaworld', 'share', 'worth', 'fell', 'august']"
2122,"Stratford remained hugely important throughout Shakespeares life, argues Paul Edmondson, the head of learning and research at the Shakespeare Birthplace Trust.",adv,41.7,1,36,21,21.0,1.7142857142857142,"['stratford', 'remain', 'huge', 'import', 'throughout', 'shakespear', 'life', 'argu', 'paul', 'edmondson', 'head', 'learn', 'research', 'shakespear', 'birthplac', 'trust']"
2123,"Stratford was important to Shakespeare all his life, says Paul Edmondson, the head of learning and research at the Shakespeare Birthplace Trust.",ele,57.61,1,32,22,22.0,1.4545454545454546,"['stratford', 'wa', 'import', 'shakespear', 'hi', 'life', 'say', 'paul', 'edmondson', 'head', 'learn', 'research', 'shakespear', 'birthplac', 'trust']"
2124,"But Stratford is where he bought land and property, where he kept his library, where he lived and read and thought.",adv,84.0,1,25,21,21.0,1.1904761904761905,"['stratford', 'bought', 'land', 'properti', 'kept', 'hi', 'librari', 'live', 'read', 'thought']"
2125,"But Stratford is where he bought land and houses, where he kept his library, where he lived and read and thought.",ele,92.46,1,24,21,21.0,1.1428571428571428,"['stratford', 'bought', 'land', 'hous', 'kept', 'hi', 'librari', 'live', 'read', 'thought']"
2126,"The anniversary of the death of the man from Stratford, the most famous and the most performed playwright in the world, will be marked across Britain and the globe.",adv,75.88,1,35,29,29.0,1.206896551724138,"['anniversari', 'death', 'man', 'stratford', 'famou', 'perform', 'playwright', 'world', 'mark', 'across', 'britain', 'globe']"
2127,"The anniversary of the death of the man from Stratford, the most famous and the most performed playwright in the world, will be celebrated across Britain and the world.",ele,67.42,1,38,29,29.0,1.3103448275862069,"['anniversari', 'death', 'man', 'stratford', 'famou', 'perform', 'playwright', 'world', 'celebr', 'across', 'britain', 'world']"
2128,"Macbeth will open in Singapore, Romeo and Juliet in Brussels.",adv,69.79,1,15,10,10.0,1.5,"['macbeth', 'open', 'singapor', 'romeo', 'juliet', 'brussel']"
2129,There will be performances of Macbeth in Singapore and Romeo and Juliet in Brussels.,ele,65.73,1,21,14,14.0,1.5,"['perform', 'macbeth', 'singapor', 'romeo', 'juliet', 'brussel']"
2130,"In London, they are also creating a 37-screen pop-up cinema, one screen to showcase each of Shakespeares plays, along the South Bank.",adv,57.61,1,32,22,22.0,1.4545454545454546,"['london', 'also', 'creat', 'screen', 'popup', 'cinema', 'one', 'screen', 'showcas', 'shakespear', 'play', 'along', 'south', 'bank']"
2131,"In London, they are also creating a 37-screen pop-up cinema, one screen to show each of Shakespeares plays.",ele,61.67,1,27,18,18.0,1.5,"['london', 'also', 'creat', 'screen', 'popup', 'cinema', 'one', 'screen', 'show', 'shakespear', 'play']"
2132,"The National Theatre, the Royal Shakespeare Company and virtually every other theatre production company in the country will be marking the anniversary.",adv,15.31,1,43,22,22.0,1.9545454545454546,"['nation', 'theatr', 'royal', 'shakespear', 'compani', 'virtual', 'everi', 'theatr', 'product', 'compani', 'countri', 'mark', 'anniversari']"
2133,"The National Theatre, the Royal Shakespeare Company and almost every other theatre production company in the country will celebrate the anniversary.",ele,16.32,1,41,21,21.0,1.9523809523809523,"['nation', 'theatr', 'royal', 'shakespear', 'compani', 'almost', 'everi', 'theatr', 'product', 'compani', 'countri', 'celebr', 'anniversari']"
2134,"There will also be hundreds of lectures, recitals, international academic conferences,  lms, concerts, operas and major exhibitions.",adv,11.92,1,35,17,17.0,2.0588235294117645,"['also', 'hundr', 'lectur', 'recit', 'intern', 'academ', 'confer', 'lm', 'concert', 'opera', 'major', 'exhibit']"
2135,"There will also be hundreds of lectures, international conferences,  lms, concerts, operas and major exhibitions.",ele,13.95,1,31,15,15.0,2.066666666666667,"['also', 'hundr', 'lectur', 'intern', 'confer', 'lm', 'concert', 'opera', 'major', 'exhibit']"
2136,"For a man famous in his own lifetime, there is little documentary evidence for Shakespeares life and times.",adv,53.21,1,28,18,18.0,1.5555555555555556,"['man', 'famou', 'hi', 'lifetim', 'littl', 'documentari', 'evid', 'shakespear', 'life', 'time']"
2137,Shakespeare was famous in his own lifetime but there is little documentary evidence about Shakespeares life and times.,ele,53.21,1,29,18,18.0,1.6111111111111112,"['shakespear', 'wa', 'famou', 'hi', 'lifetim', 'littl', 'documentari', 'evid', 'shakespear', 'life', 'time']"
2138,"The actor Mark Rylance has called it his favourite book in the world and most of the surviving First Folios will be on display  including those belonging to the British and Bodleian libraries, and a tattered copy recently discovered in France.",adv,46.78,1,58,41,41.0,1.4146341463414633,"['actor', 'mark', 'rylanc', 'ha', 'call', 'hi', 'favourit', 'book', 'world', 'surviv', 'first', 'folio', 'display', 'includ', 'belong', 'british', 'bodleian', 'librari', 'tatter', 'copi', 'recent', 'discov', 'franc']"
2139,"The actor Mark Rylance has called the First Folio his favourite book in the world and most of the surviving First Folios will be on display  including those that belong to the British and Bodleian libraries, and a copy recently discovered in France.",ele,44.75,1,59,43,43.0,1.372093023255814,"['actor', 'mark', 'rylanc', 'ha', 'call', 'first', 'folio', 'hi', 'favourit', 'book', 'world', 'surviv', 'first', 'folio', 'display', 'includ', 'belong', 'british', 'bodleian', 'librari', 'copi', 'recent', 'discov', 'franc']"
2140,The general public and many academics have consistently underestimated the importance of Stratford to Shakespeare.,adv,13.95,1,31,15,15.0,2.066666666666667,"['gener', 'public', 'mani', 'academ', 'consist', 'underestim', 'import', 'stratford', 'shakespear']"
2141,The general public and many academics have underestimated the importance of Stratford to Shakespeare.,ele,31.89,1,27,14,14.0,1.9285714285714286,"['gener', 'public', 'mani', 'academ', 'underestim', 'import', 'stratford', 'shakespear']"
2142,Hearing a click off a salmon is probably one of the most challenging things a killer whale does.,adv,78.59,1,23,18,18.0,1.2777777777777777,"['hear', 'click', 'salmon', 'probabl', 'one', 'challeng', 'thing', 'killer', 'whale', 'doe']"
2143,Hearing a salmons click is probably one of the most dif cult things a killer whale does.,ele,88.06,1,20,17,17.0,1.1764705882352942,"['hear', 'salmon', 'click', 'probabl', 'one', 'dif', 'cult', 'thing', 'killer', 'whale', 'doe']"
2144,Hearing that subtle click is harder if theres a lot of noise around you.,adv,91.11,1,17,14,14.0,1.2142857142857142,"['hear', 'subtl', 'click', 'harder', 'lot', 'nois', 'around']"
2145,It is harder to hear that click if theres a lot of noise around you.,ele,98.55,1,16,15,15.0,1.0666666666666667,"['harder', 'hear', 'click', 'lot', 'nois', 'around']"
2146,"The researchers used underwater microphones to measure the noise created by about 1,600 individual ships as they passed through Haro Strait, in Washington State.",adv,47.12,1,39,24,24.0,1.625,"['research', 'use', 'underwat', 'microphon', 'measur', 'nois', 'creat', 'individu', 'ship', 'pass', 'haro', 'strait', 'washington', 'state']"
2147,"The researchers used underwater microphones to measure the noise made by about 1,600 ships as they passed through Haro Strait, in Washington State, USA.",ele,64.04,1,33,24,24.0,1.375,"['research', 'use', 'underwat', 'microphon', 'measur', 'nois', 'made', 'ship', 'pass', 'haro', 'strait', 'washington', 'state', 'usa']"
2148,"The two-year study captured the sounds made by 12 different types of vessel, including cruise ships, container ships and military vehicles, that passed through the strait about 20 times a day.",adv,56.93,1,43,31,31.0,1.3870967741935485,"['twoyear', 'studi', 'captur', 'sound', 'made', 'differ', 'type', 'vessel', 'includ', 'cruis', 'ship', 'contain', 'ship', 'militari', 'vehicl', 'pass', 'strait', 'time', 'day']"
2149,"The two-year study recorded the sound made by 12 different types of ship, including cruise ships, container ships and military ships, that passed through the strait about 20 times a day.",ele,65.39,1,40,31,31.0,1.2903225806451613,"['twoyear', 'studi', 'record', 'sound', 'made', 'differ', 'type', 'ship', 'includ', 'cruis', 'ship', 'contain', 'ship', 'militari', 'ship', 'pass', 'strait', 'time', 'day']"
2150,"Some ships are quieter than others but the average intensity of noise next to all the ships was 173 underwater decibels, equivalent to 111 decibels through the air  about the sound of a loud rock concert.",adv,51.86,1,52,36,36.0,1.4444444444444444,"['ship', 'quieter', 'averag', 'intens', 'nois', 'next', 'ship', 'wa', 'underwat', 'decibel', 'equival', 'decibel', 'air', 'sound', 'loud', 'rock', 'concert']"
2151,"Some ships are quieter than others but the average noise next to all the ships was 173 underwater decibels, the same as 111 decibels through the air  about the sound of a loud rock concert.",ele,61.33,1,46,35,35.0,1.3142857142857143,"['ship', 'quieter', 'averag', 'nois', 'next', 'ship', 'wa', 'underwat', 'decibel', 'decibel', 'air', 'sound', 'loud', 'rock', 'concert']"
2152,Whales are not usually located right next to ships and so would be subjected to noise of about 60 to 90 decibels  around the level of a lawnmower or a vacuum cleaner.,adv,55.92,1,46,32,32.0,1.4375,"['whale', 'usual', 'locat', 'right', 'next', 'ship', 'would', 'subject', 'nois', 'decibel', 'around', 'level', 'lawnmow', 'vacuum', 'cleaner']"
2153,Whales are not usually right next to ships and so would hear noise of about 60 to 90 decibels  around the level of a vacuum cleaner.,ele,70.47,1,34,26,26.0,1.3076923076923077,"['whale', 'usual', 'right', 'next', 'ship', 'would', 'hear', 'nois', 'decibel', 'around', 'level', 'vacuum', 'cleaner']"
2154,Most noise is at that low frequency but the background noise of the ocean is raised even in the high frequencies.,adv,84.0,1,26,21,21.0,1.2380952380952381,"['nois', 'low', 'frequenc', 'background', 'nois', 'ocean', 'rais', 'even', 'high', 'frequenc']"
2155,"Most noise is at that low frequency but there is more background noise in the high frequencies, too.",ele,78.59,1,23,18,18.0,1.2777777777777777,"['nois', 'low', 'frequenc', 'background', 'nois', 'high', 'frequenc']"
2156,Decreasing speed by six knots could decrease noise intensity by half.,adv,68.77,1,17,11,11.0,1.5454545454545454,"['decreas', 'speed', 'six', 'knot', 'could', 'decreas', 'nois', 'intens', 'half']"
2157,Reducing speed by six knots could decrease noise by half.,ele,86.71,1,13,10,10.0,1.3,"['reduc', 'speed', 'six', 'knot', 'could', 'decreas', 'nois', 'half']"
2158,"Under the same conditions, a quarter of women pressed the shock button.",adv,67.76,1,18,12,12.0,1.5,"['condit', 'quarter', 'women', 'press', 'shock', 'button']"
2159,A quarter of women also pressed the shock button.,ele,79.26,1,13,9,9.0,1.4444444444444444,"['quarter', 'women', 'also', 'press', 'shock', 'button']"
2160,The report from psychologists at Virginia and Harvard Universities is one of a surprising few to tackle the question of why most of us  nd it so hard to do nothing.,adv,48.47,1,46,31,31.0,1.4838709677419355,"['report', 'psychologist', 'virginia', 'harvard', 'univers', 'one', 'surpris', 'tackl', 'question', 'whi', 'us', 'nd', 'hard', 'noth']"
2161,The report from psychologists at Virginia and Harvard Universities looks at the question of why most of us  nd it so hard to do nothing.,ele,54.56,1,37,25,25.0,1.48,"['report', 'psychologist', 'virginia', 'harvard', 'univers', 'look', 'question', 'whi', 'us', 'nd', 'hard', 'noth']"
2162,The only rules were they had to stay seated and not fall asleep.,adv,92.12,1,15,13,13.0,1.1538461538461537,"['onli', 'rule', 'stay', 'seat', 'fall', 'asleep']"
2163,The only rules were that they had to stay sitting and not fall asleep.,ele,99.57,1,16,14,14.0,1.1428571428571428,"['onli', 'rule', 'stay', 'sit', 'fall', 'asleep']"
2164,"On average, they did not enjoy the experience.",adv,46.44,1,14,8,8.0,1.75,"['averag', 'enjoy', 'experi']"
2165,Most of them did not enjoy the experience.,ele,71.82,1,12,8,8.0,1.5,"['enjoy', 'experi']"
2166,"To the researchers surprise, 12 of 18 men gave themselves up to four electric shocks, as did six of 24 women.",adv,84.0,1,26,21,21.0,1.2380952380952381,"['research', 'surpris', 'men', 'gave', 'themselv', 'four', 'electr', 'shock', 'six', 'women']"
2167,But 12 of 18 men gave themselves electric shocks and six of 24 women gave themselves electric shocks.,ele,78.59,1,23,18,18.0,1.2777777777777777,"['men', 'gave', 'themselv', 'electr', 'shock', 'six', 'women', 'gave', 'themselv', 'electr', 'shock']"
2168,"Imagine the setup  a person is told to sit in a chair with wires attached to their skin and a button that will deliver a harmless but uncomfortable shock, and they are told to just sit there and entertain themselves with their thoughts, she said.",adv,51.18,1,60,45,45.0,1.3333333333333333,"['imagin', 'setup', 'person', 'told', 'sit', 'chair', 'wire', 'attach', 'skin', 'button', 'deliv', 'harmless', 'uncomfort', 'shock', 'told', 'sit', 'entertain', 'themselv', 'thought', 'said']"
2169,"Imagine  a person is told to sit in a chair with wires attached to their skin and a button that will give them a harmless but uncomfortable shock, and they are told to just sit there with their thoughts, she said.",ele,63.7,1,50,41,41.0,1.2195121951219512,"['imagin', 'person', 'told', 'sit', 'chair', 'wire', 'attach', 'skin', 'button', 'give', 'harmless', 'uncomfort', 'shock', 'told', 'sit', 'thought', 'said']"
2170,Enter a department store and you will be watched.,adv,87.72,1,12,9,9.0,1.3333333333333333,"['enter', 'depart', 'store', 'watch']"
2171,"When you enter a department store, cameras are watching you.",ele,69.79,1,15,10,10.0,1.5,"['enter', 'depart', 'store', 'camera', 'watch']"
2172,"Its that you need to know that this shopper has these characteristics and, in the past, that when those characteristics are present, this is what a person tends to do.",adv,66.41,1,40,30,30.0,1.3333333333333333,"['need', 'know', 'thi', 'shopper', 'ha', 'characterist', 'past', 'characterist', 'present', 'thi', 'person', 'tend']"
2173,"We need to know what characteristics this shopper has and that, when those characteristics are present, this is what a person usually does.",ele,56.59,1,35,23,23.0,1.5217391304347827,"['need', 'know', 'characterist', 'thi', 'shopper', 'ha', 'characterist', 'present', 'thi', 'person', 'usual', 'doe']"
2174,"If it sounds familiar, its because the online world has been using techniques like these for years.",adv,71.14,1,23,17,17.0,1.3529411764705883,"['sound', 'familiar', 'becaus', 'onlin', 'world', 'ha', 'use', 'techniqu', 'like', 'year']"
2175,"If it sounds familiar, its because the internet has been using techniques like these for years.",ele,72.16,1,23,16,16.0,1.4375,"['sound', 'familiar', 'becaus', 'internet', 'ha', 'use', 'techniqu', 'like', 'year']"
2176,If I just showed you a shot of someones body you could probably tell me what gender they are.,adv,86.03,1,23,19,19.0,1.2105263157894737,"['show', 'shot', 'someon', 'bodi', 'could', 'probabl', 'tell', 'gender']"
2177,"If I just showed you a photo of someones body, you could probably tell me what gender they are.",ele,77.57,1,24,19,19.0,1.263157894736842,"['show', 'photo', 'someon', 'bodi', 'could', 'probabl', 'tell', 'gender']"
2178,We allow this to happen online so why not of ine?,adv,85.69,1,14,11,11.0,1.2727272727272727,"['allow', 'thi', 'happen', 'onlin', 'whi', 'ine']"
2179,We allow this to happen online so why not in shops?,ele,85.69,1,14,11,11.0,1.2727272727272727,"['allow', 'thi', 'happen', 'onlin', 'whi', 'shop']"
2180,"Among 6- to 7-year-olds, who have grown up with YouTube, Spotify music streaming and online television, the average DQ score was 98, higher than for those aged between 45 and 49, who scored an average of 96.",adv,50.84,1,50,37,37.0,1.3513513513513513,"['among', 'yearold', 'grown', 'youtub', 'spotifi', 'music', 'stream', 'onlin', 'televis', 'averag', 'dq', 'score', 'wa', 'higher', 'age', 'score', 'averag']"
2181,"In 6- to 7-year-olds, who have grown up with YouTube, Spotify music streaming and online television, the average DQ score was 98.",ele,66.07,1,31,22,22.0,1.4090909090909092,"['yearold', 'grown', 'youtub', 'spotifi', 'music', 'stream', 'onlin', 'televis', 'averag', 'dq', 'score', 'wa']"
2182,The most remarkable change is in time spent talking on the phone.,adv,84.68,1,15,12,12.0,1.25,"['remark', 'chang', 'time', 'spent', 'talk', 'phone']"
2183,The biggest change is in time spent talking on the phone.,ele,94.15,1,13,11,11.0,1.1818181818181819,"['biggest', 'chang', 'time', 'spent', 'talk', 'phone']"
2184,"For those aged 12 to 15, phone calls account for just 3% of time spent communicating through any device.",adv,77.57,1,25,19,19.0,1.3157894736842106,"['age', 'phone', 'call', 'account', 'time', 'spent', 'commun', 'ani', 'devic']"
2185,"But, now, for children aged 12 to 15, phone calls make up just 3% of time spent communicating through any device.",ele,75.54,1,27,21,21.0,1.2857142857142858,"['children', 'age', 'phone', 'call', 'make', 'time', 'spent', 'commun', 'ani', 'devic']"
2186,"For all adults, this rises to 20% and, for young adults, it is still three times as high at 9%.",adv,93.48,1,21,20,20.0,1.05,"['adult', 'thi', 'rise', 'young', 'adult', 'still', 'three', 'time', 'high']"
2187,"For all adults, this rises to 20% and, for young adults, it is 9%.",ele,99.57,1,15,14,14.0,1.0714285714285714,"['adult', 'thi', 'rise', 'young', 'adult']"
2188,"Away from their phones, 12- to 15-year-olds have a very different relationship with other media, too.",adv,72.16,1,23,16,16.0,1.4375,"['away', 'phone', 'yearold', 'veri', 'differ', 'relationship', 'media']"
2189,"When they are not using their phones, 12- to 15-year-olds have a very different relationship with other media, too.",ele,69.11,1,27,19,19.0,1.4210526315789473,"['use', 'phone', 'yearold', 'veri', 'differ', 'relationship', 'media']"
2190,"They spend 20% of their time viewing short video clips, for example on YouTube, or news clips distributed via Facebook and other social sites.",adv,72.5,1,32,24,24.0,1.3333333333333333,"['spend', 'time', 'view', 'short', 'video', 'clip', 'exampl', 'youtub', 'news', 'clip', 'distribut', 'via', 'facebook', 'social', 'site']"
2191,"They spend 20% of their time watching short video clips, for example on YouTube, or news clips on Facebook and other social sites.",ele,73.51,1,29,23,23.0,1.2608695652173914,"['spend', 'time', 'watch', 'short', 'video', 'clip', 'exampl', 'youtub', 'news', 'clip', 'facebook', 'social', 'site']"
2192,"The rest of their viewing is shared between DVDs, streamed content through Net ix or iTunes and recorded television programmes.",adv,68.1,1,27,20,20.0,1.35,"['rest', 'view', 'share', 'dvd', 'stream', 'content', 'net', 'ix', 'itun', 'record', 'televis', 'programm']"
2193,"The rest of their viewing time is spent watching DVDs, streamed content through Net ix or iTunes and recorded television programmes.         ",ele,33.24,1,37,21,21.0,1.7619047619047619,"['rest', 'view', 'time', 'spent', 'watch', 'dvd', 'stream', 'content', 'net', 'ix', 'itun', 'record', 'televis', 'programm']"
2194,"From 2006 to 2008, Duran took out 68 commercial and personal loans from 39 banks in Spain.",adv,79.6,1,22,17,17.0,1.2941176470588236,"['duran', 'took', 'commerci', 'person', 'loan', 'bank', 'spain']"
2195,"From 2006 to 2008, Duran took out 68 loans from 39 banks in Spain.",ele,99.57,1,15,14,14.0,1.0714285714285714,"['duran', 'took', 'loan', 'bank', 'spain']"
2196,"He spent two months in prison before being bailed for 50,000.",adv,94.15,1,13,11,11.0,1.1818181818181819,"['spent', 'two', 'month', 'prison', 'befor', 'bail']"
2197,"He spent two months in prison; then, they let him out on 50,000 bail.",ele,108.03,1,14,14,14.0,1.0,"['spent', 'two', 'month', 'prison', 'let', 'bail']"
2198,"More than 25,000 kilos of dead  sh were collected in the aftermath and nearly 2,000 adult birds, chicks, eggs and nests were killed or destroyed.",adv,71.48,1,33,25,25.0,1.32,"['kilo', 'dead', 'sh', 'collect', 'aftermath', 'nearli', 'adult', 'bird', 'chick', 'egg', 'nest', 'kill', 'destroy']"
2199,"They collected more than 25,000 kilos of dead  sh afterwards and nearly 2,000 adult birds, chicks, eggs and nests were killed or destroyed.",ele,73.51,1,31,23,23.0,1.3478260869565217,"['collect', 'kilo', 'dead', 'sh', 'afterward', 'nearli', 'adult', 'bird', 'chick', 'egg', 'nest', 'kill', 'destroy']"
2200,It was Spains worst environmental disaster and the clean-up cost 90m.,adv,68.77,1,17,11,11.0,1.5454545454545454,"['wa', 'spain', 'worst', 'environment', 'disast', 'cleanup', 'cost']"
2201,It was Spains worst environmental disaster and the clean-up cost 90 million.,ele,59.3,1,19,12,12.0,1.5833333333333333,"['wa', 'spain', 'worst', 'environment', 'disast', 'cleanup', 'cost', 'million']"
