label,text_ele,text_int,int_ele
s1441,The real problem is that scuba diving limits what you can do.,The real problem is that scuba diving is very limiting.,"The real problem is that scuba diving is very limiting.
 |<endoflevelone>| 
The real problem is that scuba diving limits what you can do."
s1442,It allows you to stay underwater for longer but it takes a lot of planning.,"Although it allows you to stay underwater for longer, you have to plan your whole day around it.","Although it allows you to stay underwater for longer, you have to plan your whole day around it.
 |<endoflevelone>| 
It allows you to stay underwater for longer but it takes a lot of planning."
s1443,You have 20kg to 50kg of gear with you  you cant just walk on the beach and decide you want to go in.,You have 20kg to 50kg of gear with you  you cant be walking on the beach and decide you want to go in.,"You have 20kg to 50kg of gear with you  you cant be walking on the beach and decide you want to go in.
 |<endoflevelone>| 
You have 20kg to 50kg of gear with you  you cant just walk on the beach and decide you want to go in."
s1444,It was during a  nal-year project for his degree that Redmond produced the Express Dive.,It was during a  nal-year project for his product design degree that Redmond produced the Express Dive.,"It was during a  nal-year project for his product design degree that Redmond produced the Express Dive.
 |<endoflevelone>| 
It was during a  nal-year project for his degree that Redmond produced the Express Dive."
s1445,Redmond says the mouthpiece feels similar to a snorkel.,Redmond says the mouthpiece feels similar to using a snorkel.,"Redmond says the mouthpiece feels similar to using a snorkel.
 |<endoflevelone>| 
Redmond says the mouthpiece feels similar to a snorkel."
s1446,They have tested the prototype in parts.,The prototype has been tested in parts.,"The prototype has been tested in parts.
 |<endoflevelone>| 
They have tested the prototype in parts."
s1447,The typical swimmer can hold their breath for about 40 seconds while underwater.,"The typical swimmer can hold their breath for about 40 seconds while underwater, he says.","The typical swimmer can hold their breath for about 40 seconds while underwater, he says.
 |<endoflevelone>| 
The typical swimmer can hold their breath for about 40 seconds while underwater."
s1448,"In my job, I spend a lot of time listening to peoples lives all day, every day and it started to feel too much to go on social media and see every detail of everybodys lives, including people that I dont know very well, she said.","In my job, I spend a lot of time listening to peoples lives all day, every day and it started to feel so overwhelming to go on social media and see every single detail of everybodys lives, including people that I dont really have a relationship with, she said.","In my job, I spend a lot of time listening to peoples lives all day, every day and it started to feel so overwhelming to go on social media and see every single detail of everybodys lives, including people that I dont really have a relationship with, she said.
 |<endoflevelone>| 
In my job, I spend a lot of time listening to peoples lives all day, every day and it started to feel too much to go on social media and see every detail of everybodys lives, including people that I dont know very well, she said."
s1449,But she loves the way social media connects the world in a unique way.,But Beausoleil loves the way social media connects the world in a truly unique way.,"But Beausoleil loves the way social media connects the world in a truly unique way.
 |<endoflevelone>| 
But she loves the way social media connects the world in a unique way."
s145,We will never forget what he has done for this club and for the game in general.,What he has done for this club and for the game in general will never be forgotten.,"What he has done for this club and for the game in general will never be forgotten.
 |<endoflevelone>| 
We will never forget what he has done for this club and for the game in general."
s1450,"One thing I really liked about Facebook was that I could sit for hours and click on a friend and then click on one of their friends and  nish on someones Facebook page from the other side of the world, she said.","One thing I really liked about Facebook was that I could sit for hours and click on a friend and then click on one of their friends and one of their friends and one of their friends and end up on someones Facebook page from the other side of the world, she said.","One thing I really liked about Facebook was that I could sit for hours and click on a friend and then click on one of their friends and one of their friends and one of their friends and end up on someones Facebook page from the other side of the world, she said.
 |<endoflevelone>| 
One thing I really liked about Facebook was that I could sit for hours and click on a friend and then click on one of their friends and  nish on someones Facebook page from the other side of the world, she said."
s1451,I wonder what it would be like if I didnt spend this time here and spent it doing something else.,I wonder what it would be like if I didnt spend these seconds here and spent them doing something else.,"I wonder what it would be like if I didnt spend these seconds here and spent them doing something else.
 |<endoflevelone>| 
I wonder what it would be like if I didnt spend this time here and spent it doing something else."
s1452,Mathias had Facebook and Twitter accounts for years but deleted them in November 2012.,Mathias had Facebook and Twitter accounts for years before deleting them both in November 2012.,"Mathias had Facebook and Twitter accounts for years before deleting them both in November 2012.
 |<endoflevelone>| 
Mathias had Facebook and Twitter accounts for years but deleted them in November 2012."
s1453,He spends his spare moments at work reading news articles and books.,He spends his lift rides and spare moments at work reading news articles and books.,"He spends his lift rides and spare moments at work reading news articles and books.
 |<endoflevelone>| 
He spends his spare moments at work reading news articles and books."
s1454,"And with no friends to follow online, he has to pick up the phone and call them, something he now enjoys.","And with no friends accounts to follow online, he has to pick up the phone and call them, something hes come to enjoy.","And with no friends accounts to follow online, he has to pick up the phone and call them, something hes come to enjoy.
 |<endoflevelone>| 
And with no friends to follow online, he has to pick up the phone and call them, something he now enjoys."
s1455,"Lauren Raskauskas, 22, Naples, Florida Raskauskas describes herself as a private person.","Lauren Raskauskas, 22, Naples, Florida Raskauskas describes herself as a pretty private person.","Lauren Raskauskas, 22, Naples, Florida Raskauskas describes herself as a pretty private person.
 |<endoflevelone>| 
Lauren Raskauskas, 22, Naples, Florida Raskauskas describes herself as a private person."
s1456,She has deleted her Twitter account and deleted her Facebook account two years ago when she realized that she didnt like everyone knowing what I was doing.,She recently deleted her Twitter account and deactivated her Facebook account two years ago when she realized that she didnt like everyone knowing what I was doing.,"She recently deleted her Twitter account and deactivated her Facebook account two years ago when she realized that she didnt like everyone knowing what I was doing.
 |<endoflevelone>| 
She has deleted her Twitter account and deleted her Facebook account two years ago when she realized that she didnt like everyone knowing what I was doing."
s1457,"One time, I broke up with somebody while I was on Facebook and I thought Oh my gosh, should I change my pro le photo?","One time, I broke up with somebody while I was on Facebook and I was like Oh my gosh, should I change my pro le photo?","One time, I broke up with somebody while I was on Facebook and I was like Oh my gosh, should I change my pro le photo?
 |<endoflevelone>| 
One time, I broke up with somebody while I was on Facebook and I thought Oh my gosh, should I change my pro le photo?"
s1458,"And this time I dont have to worry about that, she said.","And, this time, I dont have to worry about any of that, she said.","And, this time, I dont have to worry about any of that, she said.
 |<endoflevelone>| 
And this time I dont have to worry about that, she said."
s1459,"Hariharan Rajagopalan, 18, Boston, Massachusetts Rajagopalan,a student at Boston College, doesnt see a problem with not using social media.","Hariharan Rajagopalan, 18, Boston, Massachusetts Rajagopalan, a student at Boston College, doesnt see any problem with not using social media.","Hariharan Rajagopalan, 18, Boston, Massachusetts Rajagopalan, a student at Boston College, doesnt see any problem with not using social media.
 |<endoflevelone>| 
Hariharan Rajagopalan, 18, Boston, Massachusetts Rajagopalan,a student at Boston College, doesnt see a problem with not using social media."
s146,He asked us to go into his office and told us his decision.,He called us into his office and told us his decision.,"He called us into his office and told us his decision.
 |<endoflevelone>| 
He asked us to go into his office and told us his decision."
s1460,He says that he hasnt seen any effect at this point.,He claims that he hasnt seen any effect at this point.,"He claims that he hasnt seen any effect at this point.
 |<endoflevelone>| 
He says that he hasnt seen any effect at this point."
s1461,"His classmates post about parties and events on Facebook but they send him a text message, too, he said.","Even though classmates post about parties and events on Facebook, they make sure to send him a text message, too, he said.","Even though classmates post about parties and events on Facebook, they make sure to send him a text message, too, he said.
 |<endoflevelone>| 
His classmates post about parties and events on Facebook but they send him a text message, too, he said."
s1462,"Riley B King was born in Mississippi, the son of African-American farm workers.","Riley B King (the B did not seem to stand for a name) was born in Mississippi, the son of African-American farm workers.","Riley B King (the B did not seem to stand for a name) was born in Mississippi, the son of African-American farm workers.
 |<endoflevelone>| 
Riley B King was born in Mississippi, the son of African-American farm workers."
s1463,He learnt the guitar from a family friend and learnt to sing with a quartet of gospel singers.,He learnt the basics of guitar from a family friend and perfected his singing with a quartet of gospel singers.,"He learnt the basics of guitar from a family friend and perfected his singing with a quartet of gospel singers.
 |<endoflevelone>| 
He learnt the guitar from a family friend and learnt to sing with a quartet of gospel singers."
s1464,He was known as The Beale Street Blues Boy but this was shortened to Blues Boy King and then to BB.,"His billing, The Beale Street Blues Boy, was shortened to Blues Boy King and then to BB.","His billing, The Beale Street Blues Boy, was shortened to Blues Boy King and then to BB.
 |<endoflevelone>| 
He was known as The Beale Street Blues Boy but this was shortened to Blues Boy King and then to BB."
s1465,It was number one in the R&B chart for 15 weeks; it was the  rst of many hits.,"He had his  rst hit in 1952, with Three OClock Blues, which was number one in the R&B chart for 15 weeks; it was the  rst of many hits.","He had his  rst hit in 1952, with Three OClock Blues, which was number one in the R&B chart for 15 weeks; it was the  rst of many hits.
 |<endoflevelone>| 
It was number one in the R&B chart for 15 weeks; it was the  rst of many hits."
s1466,He often praised the musicians who in uenced him and he usually mentioned T-Bone Walker  rst.,He was always ready to praise the musicians who had in uenced him  he would usually mention T-Bone Walker  rst.,"He was always ready to praise the musicians who had in uenced him  he would usually mention T-Bone Walker  rst.
 |<endoflevelone>| 
He often praised the musicians who in uenced him and he usually mentioned T-Bone Walker  rst."
s1467,He also mentioned the earlier blues guitarists Blind Lemon Jefferson and Lonnie Johnson and the jazz players Charlie Christian and Django Reinhardt.,He would also cite the earlier blues guitarists Blind Lemon Jefferson and Lonnie Johnson and the jazz players Charlie Christian and Django Reinhardt.,"He would also cite the earlier blues guitarists Blind Lemon Jefferson and Lonnie Johnson and the jazz players Charlie Christian and Django Reinhardt.
 |<endoflevelone>| 
He also mentioned the earlier blues guitarists Blind Lemon Jefferson and Lonnie Johnson and the jazz players Charlie Christian and Django Reinhardt."
s1468,He once explained that his guitar technique was partly the result of his lack of skill: I started to bend notes because I could never play in the bottleneck style.,He once explained that his guitar technique was partly based on his lack of skill: I started to bend notes because I could never play in the bottleneck style.,"He once explained that his guitar technique was partly based on his lack of skill: I started to bend notes because I could never play in the bottleneck style.
 |<endoflevelone>| 
He once explained that his guitar technique was partly the result of his lack of skill: I started to bend notes because I could never play in the bottleneck style."
s1469,"About a year and a half ago, he said in 1969, kids suddenly started saying to me, Youre the greatest blues guitarist in the world.","About a year and a half ago, he said in 1969, all of a sudden, kids started saying to me, Youre the greatest blues guitarist in the world.","About a year and a half ago, he said in 1969, all of a sudden, kids started saying to me, Youre the greatest blues guitarist in the world.
 |<endoflevelone>| 
About a year and a half ago, he said in 1969, kids suddenly started saying to me, Youre the greatest blues guitarist in the world."
s147,Not many exercise classes have a tea break in the middle.,Not many exercise classes have a tea break halfway through.,"Not many exercise classes have a tea break halfway through.
 |<endoflevelone>| 
Not many exercise classes have a tea break in the middle."
s1470,"The celebrations for his 80th birthday, in 2005, included an award-winning album with Clapton, Mark Knop er, Roger Daltrey, Gloria Estefan and others, tributes from Bono, Amadou Bagayoko and Elton John, and a goodbye tour that was not a goodbye at all.","The celebrations for his 80th birthday, in 2005, included an award-winning album of collaborations with Clapton, Mark Knop er, Roger Daltrey, Gloria Estefan and others, tributes from musicians as diverse as Bono, Amadou Bagayoko and Elton John, and a goodbye tour that was not a goodbye at all.","The celebrations for his 80th birthday, in 2005, included an award-winning album of collaborations with Clapton, Mark Knop er, Roger Daltrey, Gloria Estefan and others, tributes from musicians as diverse as Bono, Amadou Bagayoko and Elton John, and a goodbye tour that was not a goodbye at all.
 |<endoflevelone>| 
The celebrations for his 80th birthday, in 2005, included an award-winning album with Clapton, Mark Knop er, Roger Daltrey, Gloria Estefan and others, tributes from Bono, Amadou Bagayoko and Elton John, and a goodbye tour that was not a goodbye at all."
s1471,"The number of people who use e-cigarettes while continuing to smoke is going down, West said.","Numbers who use e-cigarettes while continuing to smoke are going down, West said.","Numbers who use e-cigarettes while continuing to smoke are going down, West said.
 |<endoflevelone>| 
The number of people who use e-cigarettes while continuing to smoke is going down, West said."
s1472,Experts believe that vaping will probably not become fashionable with young non-smokers.,Experts believe it is unlikely that vaping will become fashionable among young non-smokers.,"Experts believe it is unlikely that vaping will become fashionable among young non-smokers.
 |<endoflevelone>| 
Experts believe that vaping will probably not become fashionable with young non-smokers."
s1473,But e-cigarettes seem to be most popular with adults who want to quit.,"Instead, e-cigarettes seem to be most popular among adults who want to quit.","Instead, e-cigarettes seem to be most popular among adults who want to quit.
 |<endoflevelone>| 
But e-cigarettes seem to be most popular with adults who want to quit."
s1474,Our customers are still very happy with the product and technology is improving their experience and helping them to switch from traditional cigarettes.,"Our customers are still very happy with the product, and technology and innovation in hardware is improving user experience and helping them to switch from traditional cigarettes.","Our customers are still very happy with the product, and technology and innovation in hardware is improving user experience and helping them to switch from traditional cigarettes.
 |<endoflevelone>| 
Our customers are still very happy with the product and technology is improving their experience and helping them to switch from traditional cigarettes."
s1475,"E-cigarettes are like a sort of nicotine patch, West agreed.","E-cigarettes behave like a sort of nicotine patch, West agreed.","E-cigarettes behave like a sort of nicotine patch, West agreed.
 |<endoflevelone>| 
E-cigarettes are like a sort of nicotine patch, West agreed."
s1476,They are more popular than nicotine patches but we do not know if they are more effective.,They are more popular than nicotine patches and may or may not be more effective.,"They are more popular than nicotine patches and may or may not be more effective.
 |<endoflevelone>| 
They are more popular than nicotine patches but we do not know if they are more effective."
s1477,"Some local authorities and organizations treat e-cigarettes like cigarettes  they ban them in public places and outdoors, he said.","There is a tendency among some local authorities and organizations to treat e-cigarettes as cigarettes and ban them in public places and outdoors, he said.","There is a tendency among some local authorities and organizations to treat e-cigarettes as cigarettes and ban them in public places and outdoors, he said.
 |<endoflevelone>| 
Some local authorities and organizations treat e-cigarettes like cigarettes  they ban them in public places and outdoors, he said."
s1478,"Vienna is the worlds best city to live in, Baghdad is the worst and London, Paris and New York are not in the top 35, says an international study on quality of life.","Vienna is the worlds best city to live in, Baghdad is the worst and London, Paris and New York do not even enter the top 35, according to international research into quality of life.","Vienna is the worlds best city to live in, Baghdad is the worst and London, Paris and New York do not even enter the top 35, according to international research into quality of life.
 |<endoflevelone>| 
Vienna is the worlds best city to live in, Baghdad is the worst and London, Paris and New York are not in the top 35, says an international study on quality of life."
s1479,"German-speaking cities do well in the 18th Mercer Quality of Life study, with Vienna, Zurich, Munich, Dusseldorf and Frankfurt in the top seven.","German-speaking cities dominate the rankings in the 18th Mercer Quality of Life study, with Vienna joined by Zurich, Munich, Dusseldorf and Frankfurt in the top seven.","German-speaking cities dominate the rankings in the 18th Mercer Quality of Life study, with Vienna joined by Zurich, Munich, Dusseldorf and Frankfurt in the top seven.
 |<endoflevelone>| 
German-speaking cities do well in the 18th Mercer Quality of Life study, with Vienna, Zurich, Munich, Dusseldorf and Frankfurt in the top seven."
s148,"After a gentle warm-up and a few quick exercises, the 93-year-old great-grandmother lets her group sit down and relax with a cup of tea.","After a gentle warm-up and a few quick exercises, the 93-year-old great-grandmother lets her group relax with a cup of tea and a quick rest.","After a gentle warm-up and a few quick exercises, the 93-year-old great-grandmother lets her group relax with a cup of tea and a quick rest.
 |<endoflevelone>| 
After a gentle warm-up and a few quick exercises, the 93-year-old great-grandmother lets her group sit down and relax with a cup of tea."
s1480,I live in a 100 square-metre apartment in a good area about 20 minutes walk from the city centre.,I live in a 100sq-metre apartment in a good area about 20 minutes walk from the city centre.,"I live in a 100sq-metre apartment in a good area about 20 minutes walk from the city centre.
 |<endoflevelone>| 
I live in a 100 square-metre apartment in a good area about 20 minutes walk from the city centre."
s1481,We also have terri c public transport  the underground trains run 24 hours at weekends and it only costs 1 per trip.,"We also have terri c public transport, with the underground working 24 hours at weekends and it only costs 1 per trip.","We also have terri c public transport, with the underground working 24 hours at weekends and it only costs 1 per trip.
 |<endoflevelone>| 
We also have terri c public transport  the underground trains run 24 hours at weekends and it only costs 1 per trip."
s1482,The fall of the Berlin Wall helped make Vienna a centre for companies who want to do business in Central Europe.,The fall of the Berlin Wall helped make Vienna a hub for companies wanting to do business in Central Europe.,"The fall of the Berlin Wall helped make Vienna a hub for companies wanting to do business in Central Europe.
 |<endoflevelone>| 
The fall of the Berlin Wall helped make Vienna a centre for companies who want to do business in Central Europe."
s1483,"Its a very young and lively city, she added.                       ","Its a very fast growing, young and lively city, she added.","Its a very fast growing, young and lively city, she added.
 |<endoflevelone>| 
Its a very young and lively city, she added.                       "
s1484,"A new government report asked workers, employers and customers what they thought about tipping.","For a new government report, workers, employers and customers were asked about their views on tipping.","For a new government report, workers, employers and customers were asked about their views on tipping.
 |<endoflevelone>| 
A new government report asked workers, employers and customers what they thought about tipping."
s1485,The report said that some waiters are made to pay a 15% administration fee on tips that customers pay by credit or debit card.,The report said that some waiters are charged up to a 15% administration fee on tips that are left when customers pay by credit or debit cards.,"The report said that some waiters are charged up to a 15% administration fee on tips that are left when customers pay by credit or debit cards.
 |<endoflevelone>| 
The report said that some waiters are made to pay a 15% administration fee on tips that customers pay by credit or debit card."
s1486,The government said that it wants customers to know that tips are voluntary.,"The government also said that it wanted customers to know that tips are voluntary and they want the system to be more transparent, with restaurants clearly displaying their tips policy.","The government also said that it wanted customers to know that tips are voluntary and they want the system to be more transparent, with restaurants clearly displaying their tips policy.
 |<endoflevelone>| 
The government said that it wants customers to know that tips are voluntary."
s1487,"We asked waiters around the UK what they think of tipping, including how much money they get from tips and if its fair.",We asked waiters around the UK what they think of the tipping process (including how much they take home from tips and whether its fair) and what would improve it for them.,"We asked waiters around the UK what they think of the tipping process (including how much they take home from tips and whether its fair) and what would improve it for them.
 |<endoflevelone>| 
We asked waiters around the UK what they think of tipping, including how much money they get from tips and if its fair."
s1488,"Rodri, 37, London: Around 50% of a waiters income is tips Average tips: 60 per eight-hour shift I think they treat waiters best in ... the US  Everything has got fairer since the tipping scandal in the summer of 2015.","Rodri, 37, London: Around 50% of a waiters income is tips Average tips: 60 per eight-hour shift I think they treat waiters best in ... the US  Everything has got fairer since the tipping scandal was exposed in the summer of 2015.","Rodri, 37, London: Around 50% of a waiters income is tips Average tips: 60 per eight-hour shift I think they treat waiters best in ... the US  Everything has got fairer since the tipping scandal was exposed in the summer of 2015.
 |<endoflevelone>| 
Rodri, 37, London: Around 50% of a waiters income is tips Average tips: 60 per eight-hour shift I think they treat waiters best in ... the US  Everything has got fairer since the tipping scandal in the summer of 2015."
s1489,But you still hear horror stories from new employees at some chains.,"However, you still hear horror stories from new employees at some chains.","However, you still hear horror stories from new employees at some chains.
 |<endoflevelone>| 
But you still hear horror stories from new employees at some chains."
s149,Allen has been leading classes in the north-east town for 45 years.,"Allen, a former volunteer with the charity Red Cross, has been leading classes in the north-east town for 45 years.","Allen, a former volunteer with the charity Red Cross, has been leading classes in the north-east town for 45 years.
 |<endoflevelone>| 
Allen has been leading classes in the north-east town for 45 years."
s1490,I get about 60 in tips per shift.,I get an average of around 60 of tips per shift.,"I get an average of around 60 of tips per shift.
 |<endoflevelone>| 
I get about 60 in tips per shift."
s1491,"On a good night, this goes up to over 100 and, on a poor night, its around 40.","On a good night, this can go up to over 100 and, on a poor night, its around 40.","On a good night, this can go up to over 100 and, on a poor night, its around 40.
 |<endoflevelone>| 
On a good night, this goes up to over 100 and, on a poor night, its around 40."
s1492,"Elle, 22, Edinburgh: We never know whether its fair Average tips: 20 per eight-hour shift I think they treat waiters best in ... France  I have three part-time jobs.","Elle, 22, Edinburgh: We never know whether its fair Average tips: 20 per eight-hour shift I think they treat waiters best in ... France  I have three part-time catering jobs.","Elle, 22, Edinburgh: We never know whether its fair Average tips: 20 per eight-hour shift I think they treat waiters best in ... France  I have three part-time catering jobs.
 |<endoflevelone>| 
Elle, 22, Edinburgh: We never know whether its fair Average tips: 20 per eight-hour shift I think they treat waiters best in ... France  I have three part-time jobs."
s1493,My day job is in a cafe where the staff work both in the cafe and in the kitchen so all our tips go in a pot and we all get the same.,My main day job is in a cafe where the small number of staff work both in the cafe and in the kitchen so all our tips go in a pot and they are shared equally.,"My main day job is in a cafe where the small number of staff work both in the cafe and in the kitchen so all our tips go in a pot and they are shared equally.
 |<endoflevelone>| 
My day job is in a cafe where the staff work both in the cafe and in the kitchen so all our tips go in a pot and we all get the same."
s1494,My evening job is at a restaurant where we dont get our tips but we get the minimum wage plus an extra 2.50 per hour.,My main evening job is at a restaurant where we dont get our tips but our wages are minimum wage plus an extra 2.50 per hour.,"My main evening job is at a restaurant where we dont get our tips but our wages are minimum wage plus an extra 2.50 per hour.
 |<endoflevelone>| 
My evening job is at a restaurant where we dont get our tips but we get the minimum wage plus an extra 2.50 per hour."
s1495,"In restaurants, because a lot of customers add tips by card, the staff never see how much the tip is  so we dont know if what we get is fair or not.","In restaurants, because a lot of customers add tips through card payments, the staff never see how much the tip is  so we dont know whether what we get is fair or not.","In restaurants, because a lot of customers add tips through card payments, the staff never see how much the tip is  so we dont know whether what we get is fair or not.
 |<endoflevelone>| 
In restaurants, because a lot of customers add tips by card, the staff never see how much the tip is  so we dont know if what we get is fair or not."
s1496,"The system seems better in France, where they dont tip much but being a waiter is seen as a proper job with job security and good wages.","The system seems better in France, where they dont tip much but being a waiter is seen as a proper job, with job security and a decent income.","The system seems better in France, where they dont tip much but being a waiter is seen as a proper job, with job security and a decent income.
 |<endoflevelone>| 
The system seems better in France, where they dont tip much but being a waiter is seen as a proper job with job security and good wages."
s1497,"It is very unfair that our tips are shared out, especially when one member of the team doesnt work hard enough.","It is incredibly unfair that our tips are shared out, especially when one member of the team doesnt work hard enough.","It is incredibly unfair that our tips are shared out, especially when one member of the team doesnt work hard enough.
 |<endoflevelone>| 
It is very unfair that our tips are shared out, especially when one member of the team doesnt work hard enough."
s1498,Its really unfair that money from our tips is taken for breakages by customers.,Its really unfair that tips go towards breakages made by customers.,"Its really unfair that tips go towards breakages made by customers.
 |<endoflevelone>| 
Its really unfair that money from our tips is taken for breakages by customers."
s1499,I really need tips because I am only paid 7 an hour.,I really rely on tips because I am only paid 7 an hour.,"I really rely on tips because I am only paid 7 an hour.
 |<endoflevelone>| 
I really need tips because I am only paid 7 an hour."
s15,"Brazil has the largest population of African descent outside Africa, but race and where your family come from are less important there than colour.","Brazil  one of the last big countries in the world to ban slavery  has the largest population of African descent outside Africa, but race and where your family come from are less important there than colour.","Brazil  one of the last big countries in the world to ban slavery  has the largest population of African descent outside Africa, but race and where your family come from are less important there than colour.
 |<endoflevelone>| 
Brazil has the largest population of African descent outside Africa, but race and where your family come from are less important there than colour."
s150,"The baby of the group is 60-year-old Jean Cunion, who is a bit embarrassed to say that she is perhaps the least fit of the group.","The baby of the group is 60-year-old Jean Cunion, who is a bit embarrassed to admit that she is perhaps the least fit of the group.","The baby of the group is 60-year-old Jean Cunion, who is a bit embarrassed to admit that she is perhaps the least fit of the group.
 |<endoflevelone>| 
The baby of the group is 60-year-old Jean Cunion, who is a bit embarrassed to say that she is perhaps the least fit of the group."
s1500,Id prefer to get a good basic wage (like in Australia) and not have to rely on tips.,Id rather we earned a good basic wage (like in Australia) and didnt have to rely on tips.,"Id rather we earned a good basic wage (like in Australia) and didnt have to rely on tips.
 |<endoflevelone>| 
Id prefer to get a good basic wage (like in Australia) and not have to rely on tips."
s1501,"Sometimes, waiters need a good night to be able to pay their rent.","Sometimes, the waiters needed a good night to pay their rent.","Sometimes, the waiters needed a good night to pay their rent.
 |<endoflevelone>| 
Sometimes, waiters need a good night to be able to pay their rent."
s1502,"They have got tipping right in Italy, where customers dont add a big tip but usually round up their bill so, if their meal is 19, they leave a 20 note and dont ask for change.   ","They have got tipping right in Italy, where customers dont add a service charge but usually round up their bill so, if their meal is 19, they leave a 20 note and dont ask for change.","They have got tipping right in Italy, where customers dont add a service charge but usually round up their bill so, if their meal is 19, they leave a 20 note and dont ask for change.
 |<endoflevelone>| 
They have got tipping right in Italy, where customers dont add a big tip but usually round up their bill so, if their meal is 19, they leave a 20 note and dont ask for change.   "
s1503,"In ten years, the social network has changed peoples relationships, privacy, their businesses, news media, helped to end unfair governments and even changed the meaning of common words.","In ten years, the social network has completely changed peoples relationships, privacy, their businesses, news media, helped to end regimes and even changed the meanings of common words.","In ten years, the social network has completely changed peoples relationships, privacy, their businesses, news media, helped to end regimes and even changed the meanings of common words.
 |<endoflevelone>| 
In ten years, the social network has changed peoples relationships, privacy, their businesses, news media, helped to end unfair governments and even changed the meaning of common words."
s1504,"A more open and connected world is a better world, wrote Zuckerberg.",A more open and connected world is a better world.,"A more open and connected world is a better world.
 |<endoflevelone>| 
A more open and connected world is a better world, wrote Zuckerberg."
s1505,The meanings of the words share and like are the same but Facebook has made the words more important to us.,"Although the meanings of the words share and like are basically the same, Facebook has made the terms more important to us.","Although the meanings of the words share and like are basically the same, Facebook has made the terms more important to us.
 |<endoflevelone>| 
The meanings of the words share and like are the same but Facebook has made the words more important to us."
s1506,You wont be surprised if you see an ex in the street with a new girlfriend or boyfriend: you already know theyre with someone else because youve seen the romantic sel es.,You wont be surprised to see an ex in the street with a new girlfriend or boyfriend: you already know theyre dating someone else from the romantic sel es.,"You wont be surprised to see an ex in the street with a new girlfriend or boyfriend: you already know theyre dating someone else from the romantic sel es.
 |<endoflevelone>| 
You wont be surprised if you see an ex in the street with a new girlfriend or boyfriend: you already know theyre with someone else because youve seen the romantic sel es."
s1507,"In real life, some friends are more important than others but, on Facebook, all friends have the same importance.","But, unlike in real life, on Facebook, all your friends have the same importance.","But, unlike in real life, on Facebook, all your friends have the same importance.
 |<endoflevelone>| 
In real life, some friends are more important than others but, on Facebook, all friends have the same importance."
s1508,"A classmate from university who you havent seen for 15 years, a friend-of-a-friend from a party or a colleague youve never spoken to  they are all Facebook friends in the same way as your best friend, or your husband or wife, or your mum.","A classmate from university who you havent seen for 15 years, a friend-of-a-friend from a party or a colleague youve never actually spoken to in person  they are all Facebook friends in the same way as your closest friend or your spouse or your mum.","A classmate from university who you havent seen for 15 years, a friend-of-a-friend from a party or a colleague youve never actually spoken to in person  they are all Facebook friends in the same way as your closest friend or your spouse or your mum.
 |<endoflevelone>| 
A classmate from university who you havent seen for 15 years, a friend-of-a-friend from a party or a colleague youve never spoken to  they are all Facebook friends in the same way as your best friend, or your husband or wife, or your mum."
s1509,It doesnt mean we see them the same way.,It doesnt necessarily mean we see them the same way.,"It doesnt necessarily mean we see them the same way.
 |<endoflevelone>| 
It doesnt mean we see them the same way."
s151,"Ruth Steere, 76, says Allen always has her back to the class, but she always knows whats happening: She always shouts at us if we go wrong.","Ruth Steere, 76, says Allen always knows whats going on, although her back is always to the class: She always shouts at us if we go wrong.","Ruth Steere, 76, says Allen always knows whats going on, although her back is always to the class: She always shouts at us if we go wrong.
 |<endoflevelone>| 
Ruth Steere, 76, says Allen always has her back to the class, but she always knows whats happening: She always shouts at us if we go wrong."
s1510,Professor Robin Dunbar is famous for his research that says a person can only have about 150 people in their social group.,Professor Robin Dunbar is famous for his research that suggests a person can only have about 150 people as a social group.,"Professor Robin Dunbar is famous for his research that suggests a person can only have about 150 people as a social group.
 |<endoflevelone>| 
Professor Robin Dunbar is famous for his research that says a person can only have about 150 people in their social group."
s1511,"But Dunbar says he fears it is so easy to end friendships on Facebook that, one day, people may not need to learn to get on with each other.","But Dunbar says he fears it is so easy simply to end friendships on Facebook that, eventually, people may not need to learn to get on with each other.","But Dunbar says he fears it is so easy simply to end friendships on Facebook that, eventually, people may not need to learn to get on with each other.
 |<endoflevelone>| 
But Dunbar says he fears it is so easy to end friendships on Facebook that, one day, people may not need to learn to get on with each other."
s1512,"Ninety-one per cent post a photo of themselves, 71% post the city or town where they live, more than half give email addresses and a  fth give their phone number.","Ninety- one per cent post a photo of themselves, 71% post the city or town where they live, more than half give email addresses and a  fth give their phone number.","Ninety- one per cent post a photo of themselves, 71% post the city or town where they live, more than half give email addresses and a  fth give their phone number.
 |<endoflevelone>| 
Ninety-one per cent post a photo of themselves, 71% post the city or town where they live, more than half give email addresses and a  fth give their phone number."
s1513,But most young users limit who can see their pro les  60% allow friends only.,"But most younger users limit who can see their pro les, with 60% allowing friends only.","But most younger users limit who can see their pro les, with 60% allowing friends only.
 |<endoflevelone>| 
But most young users limit who can see their pro les  60% allow friends only."
s1514,"Suddenly, customers dont simply complain on the phone or on a small internet forum  angry customers can post their complaints for hundreds of their friends to see or even on the companys own page.","Suddenly, customers dont simply complain on the phone to a customer service representative or on a small specialist internet forum  angry customers can post their complaints for hundreds of their friends to see or even on the brands own page.","Suddenly, customers dont simply complain on the phone to a customer service representative or on a small specialist internet forum  angry customers can post their complaints for hundreds of their friends to see or even on the brands own page.
 |<endoflevelone>| 
Suddenly, customers dont simply complain on the phone or on a small internet forum  angry customers can post their complaints for hundreds of their friends to see or even on the companys own page."
